01C031,0,0,0,1,1,22,11,0,22,999,0
01C032,0,0,0,1,1,23,19,0,23,24,0
01C033,0,0,0,1,1,24,64,0,24,999,0
01C034,4,0,0,1,1,25,124,12,25,999,0
01C041,0,5,4160,1,0,0,999,0,0,999,0
01C041,0,1,8450,1,1,65,12,0,65,13,0
01C041,0,0,0,0,1,26,12,0,26,13,0
01C042,0,5,4160,1,0,0,999,0,0,999,0
01C042,0,1,8450,1,1,66,20,0,66,31,0
01C042,0,0,0,0,1,27,20,0,27,31,0
01C043,0,5,4160,1,0,0,999,0,0,999,0
01C043,0,1,8450,1,1,67,43,0,67,47,0
01C043,0,0,0,0,1,28,43,0,28,47,0
01C044,0,5,4160,1,0,0,999,0,0,999,0
01C044,2,1,8450,1,1,68,105,12,68,110,18
01C044,2,0,0,0,1,29,105,12,29,110,18
01C051,0,0,0,1,1,30,10,0,30,8,0
01C052,0,0,0,1,1,31,17,0,31,12,0
01C053,0,0,0,1,1,32,40,0,32,35,0
01C054,2,0,0,1,1,33,84,14,33,52,6
01C061,0,0,0,1,1,34,8,0,34,7,0
01C062,0,0,0,1,1,35,15,0,35,11,0
01C063,0,0,0,1,1,36,33,0,36,33,0
01C064,2,0,0,1,1,37,74,7,37,69,7
01C08J,0,0,0,1,1,42,999,0,42,999,0
01C081,0,0,0,1,1,38,5,0,38,4,0
01C082,0,0,0,1,1,39,14,0,39,11,0
01C083,0,0,0,1,1,40,60,0,40,999,0
01C084,4,0,0,1,1,41,138,14,41,999,0
01C091,0,0,0,1,1,43,17,0,43,999,0
01C092,0,0,0,1,1,44,39,0,44,999,0
01C093,0,0,0,1,1,45,999,0,45,999,0
01C094,0,0,0,1,1,46,999,0,46,999,0
01C10J,0,0,0,0,1,73,999,0,73,999,0
01C101,0,0,0,1,1,47,6,0,47,5,0
01C102,0,0,0,1,1,48,10,0,48,999,0
01C103,0,0,0,1,1,49,999,0,49,999,0
01C104,0,0,0,1,1,50,999,0,50,999,0
01C111,0,0,0,1,1,51,10,0,51,999,0
01C112,0,0,0,1,1,52,13,0,52,999,0
01C113,0,0,0,1,1,53,39,0,53,999,0
