AAFA001/0,01012000,06062179
AAFA002/0,01012000,06062179
AAFA003/0,01012000,06062179
AAFA004/0,01012000,06062179
AAFA005/0,01012000,06062179
AAFA006/0,01012000,06062179
AAFA007/0,01012000,06062179
AAFA008/0,01012000,06062179
AAGA001/0,01012000,31122005
AAGA900/0,01012005,06062179
AAGB001/0,01012000,06062179
AAJA001/0,01012000,06062179
AAJA002/0,01012000,06062179
AAJA003/0,01012000,06062179
AAJA004/0,01012000,06062179
AAJA005/0,01012000,06062179
AAJA006/0,01012000,06062179
AAJH001/0,01012000,06062179
AAJH002/0,01012000,06062179
AAJH003/0,01012000,06062179
AAJH004/0,01012000,06062179
AAKA001/0,01012005,06062179
AALA001/0,01012000,31122005
AALA002/0,01012000,06062179
AALA003/0,01012000,31122005
AALA004/0,01012005,06062179
AALA900/0,01012005,06062179
AALB001/0,01012000,06062179
AALB002/0,01012000,06062179
AALF002/0,01012005,06062179
AAMP003/0,17032016,06062179
AAMP173/0,17032016,06062179
AAMP387/0,17032016,06062179
AANB001/0,01012000,06062179
AANL001/0,01012000,30062010
AANL002/0,01012000,30062010
AAPA001/0,01012000,31122005
AAPA002/0,01012000,31122005
AAPA900/0,01012005,06062179
AAQM002/0,01012000,06062179
AAQN001/0,01012000,31122005
AAQN002/0,01012000,06062179
AAQN003/0,01012000,31122005
AAQN004/0,01012000,06062179
AAQN005/0,01012000,31122005
AAQN900/0,01012005,06062179
AAQN901/0,01012005,06062179
AAQN902/0,01012005,06062179
AAQN903/0,01012005,06062179
AAQP001/0,01012000,31122005
AAQP002/0,01012000,06062179
AAQP003/0,01012000,06062179
AAQP004/0,01012000,06062179
AAQP005/0,01012000,06062179
AAQP006/0,01012000,06062179
AAQP007/0,01012000,06062179
AAQP008/0,01012000,06062179
AAQP009/0,01012000,06062179
AAQP010/0,01012000,06062179
AAQP011/0,01012000,06062179
AAQP012/0,01012000,06062179
AAQP013/0,01012000,06062179
AAQP129/0,01102017,06062179
AAQP350/0,01102017,06062179
AAQP900/0,01012005,06062179
ABCA001/0,01012000,06062179
ABCA002/0,01012000,06062179
ABCA003/0,01012000,06062179
ABCA004/0,01012000,06062179
ABCA005/0,01012000,31122005
ABCB001/0,01012000,06062179
ABCC001/0,01012000,06062179
ABCC002/0,01012000,31122005
ABFA001/0,01012000,06062179
ABFA002/0,01012000,06062179
ABFA003/0,01012000,06062179
ABFA004/0,01012000,06062179
ABFA005/0,01012000,06062179
ABFA006/0,01012000,06062179
ABFA007/0,01012000,06062179
ABFA008/0,01012000,06062179
ABFA009/0,01012005,06062179
ABFA010/0,01012005,06062179
ABFC001/0,01012000,06062179
ABFC002/0,01012000,06062179
