M2020-01,11,29,090320,ARBREDEC
633 ,12,0  ,11 ,0  ,1130 
634 ,12,0  ,11 ,0  ,1110 
635 ,29,0  ,0  ,2  ,798  
636 ,2 ,29 ,3  ,2  ,800  
637 ,2 ,12 ,6  ,2  ,802  
638 ,12,0  ,12 ,0  ,1040 
639 ,29,0  ,0  ,2  ,804  
640 ,2 ,29 ,4  ,2  ,806  
641 ,2 ,13 ,3  ,2  ,808  
642 ,12,0  ,13 ,0  ,1030 
643 ,12,0  ,13 ,0  ,1150 
644 ,12,0  ,13 ,0  ,1140 
645 ,41,14 ,5  ,2  ,810  
646 ,2 ,42 ,1  ,2  ,812  
647 ,12,205,90 ,0  ,5027 
648 ,2 ,14 ,4  ,2  ,814  
649 ,12,0  ,14 ,0  ,5097 
650 ,12,204,90 ,0  ,5027 
651 ,12,201,90 ,0  ,5027 
652 ,12,0  ,16 ,0  ,4060 
653 ,12,0  ,16 ,0  ,4070 
654 ,12,0  ,16 ,0  ,4080 
655 ,12,0  ,16 ,0  ,4090 
656 ,3 ,17 ,0  ,2  ,816  
657 ,3 ,17 ,0  ,2  ,818  
658 ,12,0  ,16 ,0  ,4120 
659 ,12,0  ,16 ,0  ,4130 
660 ,12,0  ,16 ,0  ,4147 
661 ,12,0  ,16 ,0  ,4157 
662 ,12,0  ,16 ,0  ,4180 
663 ,12,201,90 ,0  ,5027 
664 ,3 ,17 ,0  ,2  ,820  
665 ,12,201,90 ,0  ,5027 
666 ,12,201,90 ,0  ,5027 
667 ,12,201,90 ,0  ,5027 
668 ,26,6  ,2  ,2  ,822  
669 ,2 ,25 ,3  ,2  ,824  
670 ,12,201,90 ,0  ,5027 
671 ,12,0  ,17 ,0  ,4147 
672 ,12,201,90 ,0  ,5027 
673 ,12,0  ,17 ,0  ,4150 
674 ,12,0  ,17 ,0  ,4160 
675 ,12,0  ,17 ,0  ,4170 
676 ,12,0  ,18 ,0  ,4020 
677 ,12,0  ,18 ,0  ,4030 
678 ,12,0  ,18 ,0  ,4020 
679 ,12,0  ,18 ,0  ,4040 
680 ,12,0  ,18 ,0  ,4060 
681 ,12,0  ,18 ,0  ,4070 
682 ,12,201,90 ,0  ,5027 
683 ,3 ,17 ,0  ,2  ,826  
684 ,12,0  ,21 ,0  ,4110 
685 ,12,0  ,21 ,0  ,4120 
686 ,3 ,17 ,0  ,2  ,828  
687 ,3 ,17 ,0  ,2  ,830  
688 ,12,0  ,21 ,0  ,4130 
689 ,12,0  ,21 ,0  ,4140 
690 ,12,0  ,21 ,0  ,4150 
691 ,12,0  ,21 ,0  ,4160 
692 ,20,2  ,26 ,1  ,0    
693 ,12,0  ,21 ,0  ,3026 
694 ,29,0  ,0  ,2  ,832  
695 ,28,222,0  ,1  ,694  
696 ,12,200,90 ,0  ,5027 
697 ,12,0  ,22 ,0  ,1030 
698 ,35,0  ,0  ,2  ,834  
699 ,26,8  ,0  ,2  ,836  
700 ,20,2  ,34 ,1  ,0    
701 ,12,0  ,23 ,0  ,3027 
702 ,38,8  ,8  ,2  ,838  
703 ,7 ,22 ,7  ,2  ,840  
704 ,7 ,23 ,0  ,2  ,842  
705 ,12,0  ,15 ,0  ,4103 
706 ,12,0  ,15 ,0  ,4091 
707 ,12,0  ,15 ,0  ,4092 
708 ,29,0  ,0  ,2  ,844  
709 ,19,9  ,0  ,2  ,846  
710 ,2 ,44 ,5  ,2  ,848  
711 ,12,0  ,1  ,0  ,1060 
712 ,12,0  ,2  ,0  ,4050 
713 ,5 ,17 ,2  ,2  ,850  
714 ,2 ,1  ,4  ,2  ,852  
715 ,12,0  ,2  ,0  ,1060 
716 ,2 ,1  ,1  ,2  ,854  
717 ,36,18 ,5  ,2  ,856  
718 ,12,201,90 ,0  ,5027 
719 ,12,0  ,3  ,0  ,4020 
720 ,3 ,17 ,0  ,2  ,858  
721 ,12,0  ,3  ,0  ,4050 
722 ,12,0  ,3  ,0  ,4060 
723 ,12,0  ,3  ,0  ,4070 
724 ,3 ,17 ,0  ,2  ,860  
725 ,2 ,6  ,4  ,2  ,862  
726 ,12,0  ,3  ,0  ,4147 
727 ,12,0  ,3  ,0  ,4157 
728 ,20,1  ,202,1  ,0    
729 ,12,0  ,3  ,0  ,3046 
730 ,2 ,28 ,1  ,2  ,864  
731 ,12,0  ,3  ,0  ,1050 
732 ,1 ,1  ,0  ,22 ,866  
733 ,12,0  ,4  ,0  ,4227 
734 ,20,2  ,67 ,1  ,0    
735 ,12,0  ,4  ,0  ,4245 
736 ,2 ,41 ,5  ,2  ,888  
737 ,12,0  ,5  ,0  ,3190 
738 ,20,2  ,71 ,1  ,0    
739 ,12,0  ,5  ,0  ,3147 
740 ,2 ,4  ,3  ,2  ,890  
741 ,12,0  ,5  ,0  ,1120 
742 ,2 ,4  ,1  ,2  ,892  
743 ,12,0  ,5  ,0  ,1060 
744 ,12,0  ,5  ,0  ,1090 
745 ,12,0  ,5  ,0  ,1080 
746 ,12,0  ,5  ,0  ,1070 
747 ,12,0  ,5  ,0  ,1060 
748 ,1 ,1  ,0  ,19 ,894  
749 ,12,0  ,6  ,0  ,4167 
750 ,2 ,29 ,2  ,2  ,913  
751 ,12,0  ,6  ,0  ,3036 
752 ,20,1  ,216,1  ,0    
753 ,12,0  ,6  ,0  ,3027 
754 ,2 ,5  ,6  ,2  ,915  
755 ,12,0  ,6  ,0  ,1230 
756 ,36,18 ,2  ,2  ,917  
757 ,12,0  ,6  ,0  ,1160 
758 ,35,0  ,0  ,2  ,919  
759 ,2 ,28 ,5  ,2  ,921  
760 ,20,2  ,85 ,1  ,0    
761 ,33,4  ,0  ,2  ,923  
762 ,2 ,7  ,3  ,2  ,925  
763 ,43,7  ,9  ,2  ,927  
764 ,36,18 ,3  ,2  ,929  
765 ,12,0  ,7  ,0  ,1120 
766 ,35,0  ,0  ,2  ,931  
767 ,12,0  ,8  ,0  ,3030 
768 ,2 ,26 ,6  ,2  ,933  
769 ,12,0  ,8  ,0  ,1240 
770 ,12,0  ,8  ,0  ,1480 
771 ,12,0  ,8  ,0  ,1470 
772 ,1 ,1  ,0  ,13 ,935  
773 ,5 ,19 ,5  ,2  ,948  
774 ,20,2  ,95 ,1  ,0    
775 ,12,0  ,9  ,0  ,3026 
776 ,2 ,10 ,1  ,2  ,950  
777 ,5 ,25 ,6  ,2  ,952  
778 ,2 ,10 ,0  ,2  ,954  
779 ,2 ,9  ,7  ,2  ,956  
780 ,12,0  ,10 ,0  ,4030 
781 ,12,0  ,10 ,0  ,4020 
782 ,12,0  ,10 ,0  ,4150 
783 ,12,0  ,10 ,0  ,4160 
784 ,12,0  ,10 ,0  ,4170 
785 ,12,0  ,10 ,0  ,4180 
786 ,2 ,11 ,0  ,2  ,958  
787 ,12,0  ,10 ,0  ,1100 
788 ,1 ,1  ,0  ,12 ,960  
789 ,12,0  ,11 ,0  ,4187 
790 ,20,2  ,115,1  ,0    
791 ,12,0  ,11 ,0  ,3086 
792 ,2 ,22 ,3  ,2  ,972  
793 ,33,4  ,0  ,2  ,974  
794 ,12,0  ,11 ,0  ,3047 
795 ,12,0  ,11 ,0  ,3037 
796 ,2 ,24 ,2  ,2  ,976  
797 ,3 ,17 ,0  ,2  ,978  
798 ,35,0  ,0  ,2  ,980  
799 ,2 ,35 ,2  ,2  ,982  
800 ,20,2  ,123,1  ,0    
801 ,33,4  ,0  ,2  ,984  
802 ,2 ,35 ,3  ,2  ,986  
803 ,43,12 ,3  ,2  ,988  
804 ,35,0  ,0  ,2  ,990  
805 ,33,4  ,0  ,2  ,992  
806 ,2 ,29 ,5  ,2  ,994  
807 ,33,4  ,0  ,2  ,996  
808 ,2 ,38 ,0  ,2  ,998  
809 ,12,0  ,13 ,0  ,1040 
810 ,41,14 ,2  ,2  ,1000 
811 ,12,0  ,14 ,0  ,5167 
812 ,12,0  ,14 ,0  ,5157 
813 ,7 ,24 ,4  ,2  ,1002 
814 ,7 ,23 ,7  ,2  ,1004 
815 ,7 ,23 ,7  ,2  ,1006 
816 ,12,0  ,16 ,0  ,4160 
817 ,12,0  ,16 ,0  ,4100 
818 ,12,0  ,16 ,0  ,4170 
819 ,12,0  ,16 ,0  ,4110 
820 ,12,0  ,17 ,0  ,4080 
821 ,12,0  ,17 ,0  ,4090 
822 ,12,0  ,17 ,0  ,4060 
823 ,12,0  ,17 ,0  ,4050 
824 ,2 ,47 ,6  ,2  ,1008 
825 ,12,0  ,17 ,0  ,3050 
826 ,12,0  ,21 ,0  ,4020 
827 ,12,0  ,21 ,0  ,4100 
828 ,12,0  ,21 ,0  ,4040 
829 ,12,0  ,21 ,0  ,4050 
830 ,12,0  ,21 ,0  ,4060 
831 ,12,0  ,21 ,0  ,4070 
832 ,12,0  ,22 ,0  ,4020 
833 ,33,4  ,0  ,2  ,1010 
834 ,1 ,1  ,0  ,14 ,1012 
835 ,12,0  ,23 ,0  ,4197 
836 ,26,8  ,1  ,2  ,1026 
837 ,12,0  ,23 ,0  ,4076 
838 ,38,9  ,9  ,2  ,1028 
839 ,7 ,23 ,2  ,2  ,1030 
840 ,7 ,23 ,0  ,2  ,1032 
841 ,12,0  ,15 ,0  ,4113 
842 ,12,0  ,15 ,0  ,4101 
843 ,12,0  ,15 ,0  ,4102 
844 ,35,0  ,0  ,2  ,1034 
845 ,2 ,34 ,5  ,2  ,1036 
846 ,20,2  ,196,1  ,0    
847 ,5 ,18 ,1  ,2  ,1038 
848 ,2 ,0  ,4  ,2  ,1040 
849 ,12,0  ,1  ,0  ,1140 
850 ,12,0  ,2  ,0  ,4080 
851 ,12,0  ,2  ,0  ,4070 
852 ,12,200,90 ,0  ,5027 
853 ,3 ,17 ,0  ,2  ,1042 
854 ,12,0  ,2  ,0  ,1110 
855 ,2 ,39 ,2  ,2  ,1044 
856 ,20,2  ,204,1  ,0    
857 ,12,0  ,2  ,0  ,1100 
858 ,5 ,17 ,3  ,2  ,1046 
859 ,5 ,17 ,4  ,2  ,1048 
860 ,12,0  ,3  ,0  ,4080 
861 ,12,0  ,3  ,0  ,4090 
862 ,3 ,17 ,0  ,2  ,1050 
863 ,12,0  ,3  ,0  ,3020 
864 ,2 ,2  ,1  ,2  ,1052 
865 ,12,0  ,3  ,0  ,1190 
866 ,12,201,90 ,0  ,5027 
867 ,3 ,17 ,0  ,2  ,1054 
868 ,12,0  ,4  ,0  ,4180 
869 ,3 ,17 ,0  ,2  ,1056 
870 ,12,0  ,4  ,0  ,4250 
871 ,3 ,17 ,0  ,2  ,1058 
872 ,12,0  ,4  ,0  ,4260 
873 ,12,0  ,4  ,0  ,4190 
874 ,5 ,17 ,5  ,2  ,1060 
875 ,12,0  ,4  ,0  ,4090 
876 ,12,0  ,4  ,0  ,4100 
877 ,12,0  ,4  ,0  ,4110 
878 ,12,0  ,4  ,0  ,4120 
879 ,12,0  ,4  ,0  ,4130 
880 ,12,0  ,4  ,0  ,4140 
881 ,12,0  ,4  ,0  ,4150 
882 ,12,0  ,4  ,0  ,4160 
883 ,12,0  ,4  ,0  ,4170 
884 ,12,0  ,4  ,0  ,4210 
885 ,12,0  ,4  ,0  ,4237 
886 ,12,0  ,4  ,0  ,4227 
887 ,12,0  ,4  ,0  ,4270 
888 ,2 ,22 ,7  ,2  ,1062 
889 ,12,0  ,5  ,0  ,3200 
890 ,2 ,24 ,6  ,2  ,1064 
891 ,12,0  ,5  ,0  ,1130 
892 ,12,0  ,5  ,0  ,1110 
893 ,12,0  ,5  ,0  ,1100 
894 ,12,201,90 ,0  ,5027 
895 ,12,0  ,6  ,0  ,4190 
896 ,3 ,17 ,0  ,2  ,1066 
897 ,12,0  ,6  ,0  ,4120 
898 ,12,0  ,6  ,0  ,4040 
899 ,12,0  ,6  ,0  ,4130 
900 ,12,0  ,6  ,0  ,4050 
901 ,12,0  ,6  ,0  ,4140 
902 ,12,0  ,6  ,0  ,4060 
903 ,12,0  ,6  ,0  ,4070 
904 ,3 ,17 ,0  ,2  ,1068 
905 ,12,0  ,6  ,0  ,4200 
906 ,12,0  ,6  ,0  ,4100 
907 ,12,0  ,6  ,0  ,4110 
908 ,12,0  ,6  ,0  ,4157 
909 ,12,0  ,6  ,0  ,4177 
910 ,12,0  ,6  ,0  ,4187 
911 ,12,0  ,6  ,0  ,4167 
912 ,12,0  ,6  ,0  ,4210 
913 ,33,4  ,0  ,2  ,1070 
914 ,33,4  ,0  ,2  ,1072 
915 ,2 ,5  ,7  ,2  ,1074 
916 ,36,2  ,2  ,2  ,1076 
917 ,12,0  ,6  ,0  ,1220 
918 ,12,0  ,6  ,0  ,1200 
919 ,1 ,1  ,0  ,14 ,1078 
920 ,12,0  ,7  ,0  ,4137 
921 ,20,2  ,246,1  ,0    
922 ,33,4  ,0  ,2  ,1092 
923 ,20,2  ,85 ,1  ,0    
924 ,12,0  ,7  ,0  ,3027 
925 ,12,200,90 ,0  ,5027 
926 ,12,0  ,7  ,0  ,1080 
927 ,12,0  ,7  ,0  ,1070 
928 ,12,0  ,7  ,0  ,1060 
929 ,12,0  ,7  ,0  ,1140 
930 ,12,0  ,7  ,0  ,1130 
931 ,1 ,1  ,0  ,28 ,1094 
932 ,12,0  ,8  ,0  ,4357 
933 ,2 ,7  ,6  ,2  ,1122 
934 ,12,0  ,8  ,0  ,1250 
935 ,12,201,90 ,0  ,5027 
936 ,3 ,17 ,0  ,2  ,1124 
937 ,3 ,17 ,0  ,2  ,1126 
938 ,12,0  ,9  ,0  ,4060 
939 ,12,0  ,9  ,0  ,4110 
940 ,12,0  ,9  ,0  ,4070 
941 ,12,0  ,9  ,0  ,4080 
942 ,12,0  ,9  ,0  ,4090 
943 ,12,0  ,9  ,0  ,4100 
944 ,12,0  ,9  ,0  ,4147 
945 ,12,0  ,9  ,0  ,4157 
946 ,12,0  ,9  ,0  ,4127 
947 ,12,0  ,9  ,0  ,4137 
948 ,5 ,19 ,6  ,2  ,1128 
949 ,12,0  ,9  ,0  ,4127 
950 ,2 ,10 ,2  ,2  ,1130 
951 ,5 ,25 ,7  ,2  ,1132 
952 ,2 ,46 ,3  ,2  ,1134 
953 ,12,0  ,9  ,0  ,1120 
954 ,12,0  ,9  ,0  ,1070 
955 ,12,0  ,9  ,0  ,1060 
956 ,12,0  ,9  ,0  ,1050 
957 ,12,0  ,9  ,0  ,1040 
958 ,2 ,11 ,1  ,2  ,1136 
959 ,12,0  ,10 ,0  ,1050 
960 ,12,201,90 ,0  ,5027 
961 ,12,0  ,11 ,0  ,4020 
962 ,3 ,17 ,0  ,2  ,1138 
963 ,29,0  ,0  ,2  ,1140 
964 ,12,0  ,11 ,0  ,4070 
965 ,3 ,17 ,0  ,2  ,1142 
966 ,12,0  ,11 ,0  ,4100 
967 ,3 ,17 ,0  ,2  ,1144 
968 ,12,0  ,11 ,0  ,4170 
969 ,12,0  ,11 ,0  ,4197 
970 ,12,0  ,11 ,0  ,4187 
971 ,12,0  ,11 ,0  ,4200 
972 ,20,1  ,238,1  ,0    
973 ,12,0  ,11 ,0  ,3077 
974 ,12,0  ,11 ,0  ,3067 
975 ,12,0  ,11 ,0  ,3057 
976 ,2 ,12 ,2  ,2  ,1146 
977 ,12,0  ,11 ,0  ,1090 
978 ,12,0  ,11 ,0  ,1060 
979 ,12,0  ,11 ,0  ,1070 
980 ,1 ,1  ,0  ,8  ,1148 
981 ,12,0  ,12 ,0  ,4087 
982 ,20,3  ,30 ,1  ,0    
983 ,12,0  ,12 ,0  ,3066 
984 ,12,0  ,12 ,0  ,3037 
985 ,12,0  ,12 ,0  ,3027 
986 ,2 ,12 ,7  ,2  ,1156 
987 ,12,0  ,12 ,0  ,1130 
988 ,3 ,17 ,0  ,2  ,1158 
989 ,12,0  ,12 ,0  ,1050 
990 ,1 ,1  ,0  ,9  ,1160 
991 ,12,0  ,13 ,0  ,4097 
992 ,20,3  ,36 ,1  ,0    
993 ,12,0  ,13 ,0  ,3066 
994 ,20,2  ,127,1  ,0    
995 ,33,4  ,0  ,2  ,1169 
996 ,12,0  ,13 ,0  ,3037 
997 ,12,0  ,13 ,0  ,3027 
998 ,2 ,13 ,4  ,2  ,1171 
999 ,12,0  ,13 ,0  ,1170 
1000,2 ,44 ,4  ,2  ,1173 
1001,7 ,11 ,7  ,2  ,1175 
1002,12,0  ,14 ,0  ,1091 
1003,12,0  ,14 ,0  ,1092 
1004,7 ,24 ,0  ,2  ,1177 
1005,7 ,24 ,2  ,2  ,1179 
1006,7 ,24 ,0  ,2  ,1181 
1007,7 ,24 ,1  ,2  ,1183 
1008,2 ,47 ,7  ,2  ,1185 
1009,12,0  ,17 ,0  ,3080 
1010,20,3  ,64 ,1  ,0    
1011,12,0  ,22 ,0  ,3026 
1012,12,201,90 ,0  ,5027 
1013,12,0  ,23 ,0  ,4027 
1014,12,0  ,23 ,0  ,4090 
1015,12,0  ,23 ,0  ,4100 
1016,12,202,90 ,0  ,5027 
1017,12,0  ,23 ,0  ,4147 
1018,12,0  ,23 ,0  ,4157 
1019,12,0  ,23 ,0  ,4167 
1020,12,202,90 ,0  ,5027 
1021,12,0  ,23 ,0  ,4207 
1022,12,0  ,23 ,0  ,4197 
1023,12,0  ,23 ,0  ,4060 
1024,12,0  ,23 ,0  ,4110 
1025,12,0  ,23 ,0  ,4217 
1026,33,4  ,0  ,2  ,1187 
1027,12,0  ,23 ,0  ,4086 
1028,38,10 ,10 ,2  ,1189 
1029,7 ,23 ,2  ,2  ,1191 
1030,12,0  ,15 ,0  ,4121 
1031,12,0  ,15 ,0  ,4122 
1032,12,0  ,15 ,0  ,4111 
1033,12,0  ,15 ,0  ,4112 
1034,1 ,1  ,0  ,28 ,1193 
1035,12,0  ,1  ,0  ,4327 
1036,33,4  ,0  ,2  ,1221 
1037,12,0  ,1  ,0  ,3046 
1038,12,0  ,1  ,0  ,4375 
1039,12,0  ,1  ,0  ,4365 
1040,5 ,25 ,3  ,2  ,1223 
1041,12,0  ,1  ,0  ,1150 
1042,2 ,44 ,6  ,2  ,1225 
1043,12,0  ,2  ,0  ,1080 
1044,12,0  ,2  ,0  ,1050 
1045,12,0  ,2  ,0  ,1120 
1046,12,0  ,3  ,0  ,4030 
1047,12,0  ,3  ,0  ,4120 
1048,12,0  ,3  ,0  ,4040 
1049,12,0  ,3  ,0  ,4130 
1050,12,0  ,3  ,0  ,4100 
1051,12,0  ,3  ,0  ,4110 
1052,2 ,30 ,0  ,2  ,1227 
1053,3 ,17 ,0  ,2  ,1229 
1054,12,0  ,4  ,0  ,4020 
1055,12,0  ,4  ,0  ,4030 
1056,12,0  ,4  ,0  ,4040 
1057,12,0  ,4  ,0  ,4050 
1058,12,0  ,4  ,0  ,4060 
1059,12,0  ,4  ,0  ,4070 
1060,12,0  ,4  ,0  ,4080 
1061,12,0  ,4  ,0  ,4200 
1062,36,3  ,2  ,2  ,1231 
1063,36,3  ,2  ,2  ,1233 
1064,2 ,45 ,1  ,2  ,1235 
1065,12,0  ,5  ,0  ,1190 
1066,12,0  ,6  ,0  ,4020 
1067,12,0  ,6  ,0  ,4030 
1068,12,0  ,6  ,0  ,4080 
1069,12,0  ,6  ,0  ,4090 
1070,20,2  ,77 ,1  ,0    
1071,12,0  ,6  ,0  ,3066 
1072,12,0  ,6  ,0  ,3056 
1073,12,0  ,6  ,0  ,3046 
1074,2 ,5  ,4  ,2  ,1237 
1075,3 ,17 ,0  ,2  ,1239 
1076,12,0  ,6  ,0  ,1090 
1077,12,0  ,6  ,0  ,1080 
1078,12,201,90 ,0  ,5027 
1079,12,0  ,7  ,0  ,4020 
1080,12,0  ,7  ,0  ,4070 
1081,12,0  ,7  ,0  ,4080 
1082,12,0  ,7  ,0  ,4150 
1083,12,0  ,7  ,0  ,4040 
1084,12,0  ,7  ,0  ,4090 
1085,12,0  ,7  ,0  ,4100 
1086,12,0  ,7  ,0  ,4110 
1087,12,0  ,7  ,0  ,4060 
1088,12,0  ,7  ,0  ,4120 
1089,12,0  ,7  ,0  ,4137 
1090,12,0  ,7  ,0  ,4147 
1091,12,0  ,7  ,0  ,4160 
1092,12,0  ,7  ,0  ,3056 
1093,12,0  ,7  ,0  ,3046 
1094,12,201,90 ,0  ,5027 
1095,3 ,17 ,0  ,2  ,1241 
1096,12,0  ,8  ,0  ,4220 
1097,12,0  ,8  ,0  ,4230 
1098,12,0  ,8  ,0  ,4040 
1099,12,0  ,8  ,0  ,4050 
1100,3 ,17 ,0  ,2  ,1243 
1101,12,0  ,8  ,0  ,4080 
1102,12,0  ,8  ,0  ,4090 
1103,12,0  ,8  ,0  ,4100 
1104,12,0  ,8  ,0  ,4240 
1105,12,0  ,8  ,0  ,4250 
1106,12,0  ,8  ,0  ,4380 
1107,12,0  ,8  ,0  ,4260 
1108,12,0  ,8  ,0  ,4270 
1109,12,0  ,8  ,0  ,4280 
1110,12,0  ,8  ,0  ,4290 
1111,12,0  ,8  ,0  ,4300 
1112,12,0  ,8  ,0  ,4140 
1113,12,0  ,8  ,0  ,4150 
1114,12,0  ,8  ,0  ,4310 
1115,12,0  ,8  ,0  ,4320 
1116,12,0  ,8  ,0  ,4180 
1117,12,0  ,8  ,0  ,4330 
1118,12,0  ,8  ,0  ,4190 
1119,12,0  ,8  ,0  ,4340 
1120,12,0  ,8  ,0  ,4367 
1121,12,0  ,8  ,0  ,4357 
1122,2 ,8  ,0  ,2  ,1245 
1123,3 ,17 ,0  ,2  ,1247 
1124,12,0  ,9  ,0  ,4020 
1125,12,0  ,9  ,0  ,4030 
1126,12,0  ,9  ,0  ,4040 
1127,12,0  ,9  ,0  ,4050 
1128,20,3  ,4  ,1  ,0    
1129,12,0  ,9  ,0  ,4137 
1130,2 ,10 ,3  ,2  ,1249 
1131,12,0  ,9  ,0  ,1090 
1132,12,0  ,9  ,0  ,1080 
1133,12,0  ,9  ,0  ,1130 
1134,12,0  ,9  ,0  ,1120 
1135,12,0  ,9  ,0  ,1030 
1136,2 ,11 ,2  ,2  ,1251 
1137,36,15 ,2  ,2  ,1253 
1138,12,0  ,11 ,0  ,4030 
1139,12,0  ,11 ,0  ,4040 
1140,2 ,17 ,6  ,2  ,1255 
1141,7 ,25 ,2  ,2  ,1257 
1142,12,0  ,11 ,0  ,4080 
1143,36,17 ,6  ,2  ,1259 
1144,12,0  ,11 ,0  ,4110 
1145,12,0  ,11 ,0  ,4120 
1146,12,200,90 ,0  ,5027 
1147,12,0  ,11 ,0  ,1080 
1148,12,201,90 ,0  ,5027 
1149,12,0  ,12 ,0  ,4060 
1150,12,0  ,12 ,0  ,4070 
1151,12,0  ,12 ,0  ,4030 
1152,12,0  ,12 ,0  ,4040 
1153,12,0  ,12 ,0  ,4050 
1154,12,0  ,12 ,0  ,4087 
1155,12,0  ,12 ,0  ,4097 
1156,2 ,13 ,0  ,2  ,1261 
1157,12,0  ,12 ,0  ,1080 
1158,12,0  ,12 ,0  ,1060 
1159,12,0  ,12 ,0  ,1070 
1160,12,201,90 ,0  ,5027 
1161,12,0  ,13 ,0  ,4050 
1162,12,0  ,13 ,0  ,4060 
1163,12,0  ,13 ,0  ,4030 
1164,12,0  ,13 ,0  ,4070 
1165,12,0  ,13 ,0  ,4040 
1166,12,0  ,13 ,0  ,4080 
1167,12,0  ,13 ,0  ,4097 
1168,12,0  ,13 ,0  ,4107 
1169,12,0  ,13 ,0  ,3057 
1170,12,0  ,13 ,0  ,3047 
1171,2 ,13 ,6  ,2  ,1263 
1172,43,13 ,3  ,2  ,1265 
1173,41,14 ,4  ,2  ,1267 
1174,12,207,90 ,0  ,5027 
1175,2 ,14 ,7  ,2  ,1269 
1176,22,0  ,3  ,2  ,1271 
1177,2 ,14 ,6  ,2  ,1273 
1178,2 ,43 ,2  ,2  ,1275 
1179,12,0  ,14 ,0  ,5101 
1180,12,0  ,14 ,0  ,5102 
1181,7 ,24 ,1  ,2  ,1277 
1182,7 ,24 ,1  ,2  ,1279 
1183,7 ,10 ,3  ,2  ,1281 
1184,12,0  ,14 ,0  ,1064 
1185,12,0  ,17 ,0  ,3040 
1186,12,0  ,17 ,0  ,3090 
1187,20,2  ,186,1  ,0    
1188,12,0  ,23 ,0  ,3036 
1189,12,213,90 ,0  ,5027 
1190,7 ,23 ,2  ,2  ,1283 
1191,12,0  ,15 ,0  ,4131 
1192,12,0  ,15 ,0  ,4132 
1193,12,201,90 ,0  ,5027 
1194,12,0  ,1  ,0  ,4220 
1195,12,0  ,1  ,0  ,4230 
1196,3 ,17 ,0  ,2  ,1285 
1197,12,0  ,1  ,0  ,4040 
1198,12,0  ,1  ,0  ,4050 
1199,12,0  ,1  ,0  ,4260 
1200,12,0  ,1  ,0  ,4270 
1201,3 ,79 ,0  ,2  ,1287 
1202,12,0  ,1  ,0  ,4280 
1203,12,0  ,1  ,0  ,4090 
1204,12,0  ,1  ,0  ,4290 
1205,12,0  ,1  ,0  ,4100 
1206,12,0  ,1  ,0  ,4110 
1207,12,0  ,1  ,0  ,4120 
1208,12,0  ,1  ,0  ,4130 
1209,12,0  ,1  ,0  ,4330 
1210,12,0  ,1  ,0  ,4300 
1211,12,0  ,1  ,0  ,4310 
1212,3 ,79 ,0  ,2  ,1289 
1213,12,0  ,1  ,0  ,4170 
1214,36,6  ,0  ,2  ,1291 
1215,29,0  ,0  ,2  ,1293 
1216,12,0  ,1  ,0  ,4327 
1217,12,0  ,1  ,0  ,4357 
1218,12,0  ,1  ,0  ,4347 
1219,12,0  ,1  ,0  ,4380 
1220,12,0  ,1  ,0  ,4390 
1221,20,3  ,76 ,1  ,0    
1222,12,0  ,1  ,0  ,3066 
1223,2 ,0  ,5  ,2  ,1295 
1224,20,4  ,17 ,1  ,0    
1225,12,0  ,2  ,0  ,1070 
1226,12,0  ,2  ,0  ,1130 
1227,2 ,30 ,1  ,2  ,1297 
1228,12,0  ,3  ,0  ,1200 
1229,12,0  ,3  ,0  ,1060 
1230,12,0  ,3  ,0  ,1070 
1231,2 ,24 ,7  ,2  ,1299 
1232,22,0  ,2  ,2  ,1301 
1233,12,0  ,5  ,0  ,3060 
1234,12,0  ,5  ,0  ,3050 
1235,2 ,4  ,4  ,2  ,1303 
1236,12,0  ,5  ,0  ,3210 
1237,2 ,25 ,0  ,2  ,1305 
1238,12,0  ,6  ,0  ,1130 
1239,12,0  ,6  ,0  ,1100 
1240,2 ,45 ,7  ,2  ,1307 
1241,12,0  ,8  ,0  ,4200 
1242,36,19 ,2  ,2  ,1309 
1243,12,0  ,8  ,0  ,4060 
1244,12,0  ,8  ,0  ,4070 
1245,2 ,25 ,2  ,2  ,1311 
1246,12,0  ,8  ,0  ,1060 
1247,12,0  ,8  ,0  ,1040 
1248,36,18 ,6  ,2  ,1313 
1249,12,200,90 ,0  ,5027 
1250,5 ,26 ,0  ,2  ,1315 
1251,2 ,11 ,3  ,2  ,1317 
1252,12,0  ,10 ,0  ,1070 
1253,12,0  ,10 ,0  ,1120 
1254,12,0  ,10 ,0  ,1110 
1255,12,0  ,11 ,0  ,4060 
1256,12,0  ,11 ,0  ,3020 
1257,20,4  ,116,1  ,0    
1258,12,203,90 ,0  ,5027 
1259,12,0  ,11 ,0  ,4160 
1260,12,0  ,11 ,0  ,4150 
1261,12,200,90 ,0  ,5027 
1262,36,11 ,0  ,2  ,1319 
1263,2 ,46 ,6  ,2  ,1321 
1264,12,0  ,13 ,0  ,1080 
1265,2 ,13 ,5  ,2  ,1323 
1266,12,0  ,13 ,0  ,1050 
1267,41,14 ,7  ,2  ,1325 
1268,12,0  ,14 ,0  ,5067 
1269,12,0  ,14 ,0  ,5047 
1270,12,0  ,14 ,0  ,1057 
1271,20,4  ,151,1  ,0    
1272,12,0  ,14 ,0  ,5087 
1273,2 ,43 ,2  ,2  ,1327 
1274,7 ,24 ,3  ,2  ,1329 
1275,7 ,24 ,3  ,2  ,1331 
