M2020-01,11,29,090320,ARBREDEC
145 ,12,0  ,15 ,0  ,4045 
146 ,12,0  ,15 ,0  ,4035 
147 ,20,0  ,126,1  ,0    
148 ,12,0  ,15 ,0  ,4027 
149 ,38,1  ,7  ,2  ,160  
150 ,7 ,22 ,4  ,2  ,162  
151 ,12,0  ,15 ,0  ,1061 
152 ,12,0  ,15 ,0  ,1062 
153 ,0 ,0  ,0  ,24 ,164  
154 ,20,0  ,17 ,1  ,0    
155 ,20,0  ,46 ,1  ,0    
156 ,2 ,41 ,3  ,2  ,188  
157 ,12,0  ,28 ,0  ,5247 
158 ,38,2  ,2  ,2  ,190  
159 ,7 ,22 ,4  ,2  ,192  
160 ,12,213,90 ,0  ,5027 
161 ,2 ,43 ,4  ,2  ,194  
162 ,12,0  ,15 ,0  ,1051 
163 ,12,0  ,15 ,0  ,1052 
164 ,1 ,1  ,0  ,3  ,196  
165 ,2 ,18 ,0  ,2  ,199  
166 ,2 ,18 ,1  ,2  ,201  
167 ,2 ,18 ,2  ,2  ,203  
168 ,2 ,18 ,3  ,2  ,205  
169 ,2 ,18 ,4  ,2  ,207  
170 ,2 ,18 ,5  ,2  ,209  
171 ,2 ,18 ,6  ,2  ,211  
172 ,2 ,18 ,7  ,2  ,213  
173 ,5 ,11 ,3  ,2  ,215  
174 ,2 ,19 ,1  ,2  ,217  
175 ,2 ,19 ,2  ,2  ,219  
176 ,14,2  ,0  ,2  ,221  
177 ,14,1  ,0  ,2  ,223  
178 ,14,2  ,0  ,2  ,225  
179 ,12,211,90 ,0  ,5027 
180 ,2 ,19 ,7  ,2  ,227  
181 ,5 ,8  ,2  ,2  ,229  
182 ,2 ,0  ,0  ,2  ,231  
183 ,2 ,0  ,0  ,2  ,233  
184 ,1 ,1  ,0  ,6  ,235  
185 ,2 ,20 ,4  ,2  ,241  
186 ,19,7  ,0  ,2  ,243  
187 ,5 ,15 ,3  ,2  ,245  
188 ,12,216,90 ,0  ,5027 
189 ,12,0  ,28 ,0  ,5257 
190 ,38,3  ,3  ,2  ,247  
191 ,7 ,22 ,4  ,2  ,249  
192 ,7 ,22 ,5  ,2  ,251  
193 ,12,0  ,15 ,0  ,4054 
194 ,2 ,43 ,5  ,2  ,253  
195 ,7 ,22 ,4  ,2  ,255  
196 ,12,3  ,90 ,0  ,5017 
197 ,12,3  ,90 ,0  ,5017 
198 ,12,5  ,90 ,0  ,5017 
199 ,9 ,23 ,0  ,2  ,257  
200 ,2 ,25 ,6  ,2  ,259  
201 ,9 ,23 ,0  ,2  ,261  
202 ,2 ,28 ,0  ,2  ,263  
203 ,9 ,23 ,0  ,2  ,265  
204 ,2 ,37 ,6  ,2  ,267  
205 ,9 ,23 ,0  ,2  ,269  
206 ,2 ,3  ,0  ,2  ,271  
207 ,2 ,45 ,0  ,2  ,273  
208 ,2 ,3  ,3  ,2  ,275  
209 ,9 ,23 ,0  ,2  ,277  
210 ,2 ,5  ,1  ,2  ,279  
211 ,9 ,23 ,0  ,2  ,281  
212 ,2 ,17 ,7  ,2  ,283  
213 ,9 ,23 ,0  ,2  ,285  
214 ,5 ,19 ,7  ,2  ,287  
215 ,2 ,19 ,0  ,2  ,289  
216 ,6 ,26 ,4  ,2  ,291  
217 ,9 ,23 ,0  ,2  ,293  
218 ,2 ,23 ,1  ,2  ,295  
219 ,9 ,23 ,0  ,2  ,297  
220 ,2 ,11 ,5  ,2  ,299  
221 ,2 ,19 ,3  ,2  ,301  
222 ,12,2  ,90 ,0  ,5017 
223 ,2 ,19 ,4  ,2  ,303  
224 ,12,2  ,90 ,0  ,5017 
225 ,12,2  ,90 ,0  ,5017 
226 ,6 ,5  ,0  ,2  ,305  
227 ,9 ,23 ,0  ,2  ,307  
228 ,2 ,15 ,0  ,2  ,309  
229 ,2 ,0  ,0  ,2  ,311  
230 ,12,212,90 ,0  ,5017 
231 ,22,0  ,2  ,2  ,313  
232 ,12,0  ,18 ,0  ,1020 
233 ,35,0  ,0  ,2  ,315  
234 ,12,0  ,19 ,0  ,1020 
235 ,12,201,90 ,0  ,5027 
236 ,12,0  ,20 ,0  ,5020 
237 ,12,0  ,20 ,0  ,5030 
238 ,12,0  ,20 ,0  ,5040 
239 ,12,0  ,20 ,0  ,5050 
240 ,12,0  ,20 ,0  ,5060 
241 ,9 ,23 ,0  ,2  ,317  
242 ,2 ,15 ,5  ,2  ,319  
243 ,36,4  ,4  ,2  ,321  
244 ,19,1  ,1  ,2  ,323  
245 ,13,1  ,0  ,2  ,325  
246 ,12,0  ,23 ,0  ,5037 
247 ,38,4  ,4  ,2  ,327  
248 ,7 ,22 ,7  ,2  ,329  
249 ,7 ,22 ,5  ,2  ,331  
250 ,12,0  ,15 ,0  ,4064 
251 ,7 ,22 ,6  ,2  ,333  
252 ,12,0  ,15 ,0  ,4053 
253 ,7 ,22 ,4  ,2  ,335  
254 ,7 ,22 ,4  ,2  ,337  
255 ,12,0  ,15 ,0  ,1021 
256 ,12,0  ,15 ,0  ,1022 
257 ,2 ,0  ,0  ,2  ,339  
258 ,28,80 ,0  ,1  ,339  
259 ,2 ,0  ,1  ,2  ,341  
260 ,12,0  ,1  ,0  ,1090 
261 ,2 ,0  ,0  ,2  ,343  
262 ,28,80 ,0  ,1  ,343  
263 ,2 ,0  ,6  ,2  ,345  
264 ,12,0  ,2  ,0  ,1090 
265 ,2 ,0  ,0  ,2  ,347  
266 ,28,80 ,0  ,1  ,347  
267 ,2 ,1  ,5  ,2  ,349  
268 ,12,0  ,3  ,0  ,1250 
269 ,2 ,0  ,0  ,2  ,351  
270 ,28,80 ,0  ,1  ,351  
271 ,2 ,37 ,1  ,2  ,353  
272 ,12,0  ,4  ,0  ,1020 
273 ,9 ,23 ,0  ,2  ,355  
274 ,20,0  ,208,1  ,0    
275 ,2 ,3  ,5  ,2  ,357  
276 ,2 ,3  ,4  ,2  ,359  
277 ,2 ,0  ,0  ,2  ,361  
278 ,28,80 ,0  ,1  ,361  
279 ,2 ,5  ,2  ,2  ,363  
280 ,12,0  ,6  ,0  ,1030 
281 ,2 ,0  ,0  ,2  ,365  
282 ,28,80 ,0  ,1  ,365  
283 ,2 ,30 ,2  ,2  ,367  
284 ,36,15 ,0  ,2  ,369  
285 ,2 ,0  ,0  ,2  ,371  
286 ,28,80 ,0  ,1  ,371  
287 ,10,7  ,4  ,2  ,373  
288 ,2 ,47 ,3  ,2  ,375  
289 ,9 ,23 ,0  ,2  ,377  
290 ,2 ,9  ,5  ,2  ,379  
291 ,12,0  ,9  ,0  ,5021 
292 ,12,0  ,9  ,0  ,5022 
293 ,2 ,0  ,0  ,2  ,381  
294 ,28,80 ,0  ,1  ,381  
295 ,2 ,23 ,2  ,2  ,383  
296 ,12,0  ,10 ,0  ,1020 
297 ,2 ,0  ,0  ,2  ,385  
298 ,28,80 ,0  ,1  ,385  
299 ,2 ,11 ,7  ,2  ,387  
300 ,43,11 ,4  ,2  ,389  
301 ,9 ,23 ,0  ,2  ,391  
302 ,2 ,12 ,3  ,2  ,393  
303 ,9 ,23 ,0  ,2  ,395  
304 ,29,0  ,0  ,2  ,397  
305 ,36,22 ,3  ,2  ,399  
306 ,13,1  ,3  ,2  ,401  
307 ,2 ,0  ,0  ,2  ,403  
308 ,28,80 ,0  ,1  ,403  
309 ,2 ,15 ,1  ,2  ,405  
310 ,12,0  ,16 ,0  ,1020 
311 ,29,0  ,0  ,2  ,407  
312 ,2 ,47 ,4  ,2  ,409  
313 ,35,0  ,0  ,2  ,411  
314 ,19,9  ,0  ,2  ,413  
315 ,1 ,1  ,0  ,15 ,415  
316 ,12,0  ,19 ,0  ,4217 
317 ,2 ,0  ,0  ,2  ,430  
318 ,28,80 ,0  ,1  ,430  
319 ,2 ,15 ,7  ,2  ,432  
320 ,12,0  ,21 ,0  ,1060 
321 ,2 ,20 ,5  ,2  ,434  
322 ,12,0  ,22 ,0  ,5020 
323 ,20,0  ,243,1  ,0    
324 ,22,0  ,2  ,2  ,436  
325 ,2 ,0  ,0  ,2  ,438  
326 ,12,0  ,23 ,0  ,5027 
327 ,38,5  ,5  ,2  ,440  
328 ,7 ,22 ,7  ,2  ,442  
329 ,7 ,23 ,0  ,2  ,444  
330 ,12,0  ,15 ,0  ,4073 
331 ,7 ,22 ,6  ,2  ,446  
332 ,12,0  ,15 ,0  ,4063 
333 ,12,0  ,15 ,0  ,4051 
334 ,12,0  ,15 ,0  ,4052 
335 ,12,0  ,15 ,0  ,1041 
336 ,12,0  ,15 ,0  ,1042 
337 ,12,0  ,15 ,0  ,1031 
338 ,12,0  ,15 ,0  ,1032 
339 ,2 ,26 ,0  ,2  ,448  
340 ,28,222,0  ,1  ,339  
341 ,2 ,25 ,7  ,2  ,450  
342 ,3 ,17 ,0  ,2  ,452  
343 ,35,0  ,0  ,2  ,454  
344 ,28,222,0  ,1  ,343  
345 ,2 ,0  ,7  ,2  ,456  
346 ,12,0  ,2  ,0  ,1020 
347 ,29,0  ,0  ,2  ,458  
348 ,28,222,0  ,1  ,347  
349 ,2 ,26 ,2  ,2  ,460  
350 ,12,0  ,3  ,0  ,1260 
351 ,29,0  ,0  ,2  ,462  
352 ,28,222,0  ,1  ,351  
353 ,2 ,3  ,1  ,2  ,464  
354 ,12,0  ,4  ,0  ,1040 
355 ,2 ,0  ,0  ,2  ,466  
356 ,28,80 ,0  ,1  ,466  
357 ,2 ,3  ,6  ,2  ,468  
358 ,2 ,3  ,4  ,2  ,470  
359 ,12,0  ,5  ,0  ,1030 
360 ,12,0  ,5  ,0  ,1020 
361 ,22,0  ,2  ,2  ,472  
362 ,28,222,0  ,1  ,361  
363 ,2 ,5  ,3  ,2  ,474  
364 ,12,0  ,6  ,0  ,1040 
365 ,2 ,47 ,1  ,2  ,476  
366 ,28,222,0  ,1  ,365  
367 ,2 ,30 ,3  ,2  ,478  
368 ,12,0  ,7  ,0  ,1110 
369 ,12,0  ,7  ,0  ,1100 
370 ,12,0  ,7  ,0  ,1090 
371 ,29,0  ,0  ,2  ,480  
372 ,28,222,0  ,1  ,371  
373 ,2 ,26 ,3  ,2  ,482  
374 ,12,0  ,8  ,0  ,1020 
375 ,12,0  ,8  ,0  ,1620 
376 ,12,0  ,8  ,0  ,1610 
377 ,2 ,0  ,0  ,2  ,484  
378 ,28,80 ,0  ,1  ,484  
379 ,2 ,37 ,7  ,2  ,486  
380 ,36,2  ,4  ,2  ,488  
381 ,35,0  ,0  ,2  ,490  
382 ,28,222,0  ,1  ,381  
383 ,2 ,26 ,7  ,2  ,492  
384 ,12,0  ,10 ,0  ,1030 
385 ,22,0  ,2  ,2  ,494  
386 ,28,222,0  ,1  ,385  
387 ,2 ,12 ,0  ,2  ,496  
388 ,5 ,26 ,2  ,2  ,498  
389 ,12,0  ,11 ,0  ,1030 
390 ,12,0  ,11 ,0  ,1020 
391 ,2 ,0  ,0  ,2  ,500  
392 ,28,80 ,0  ,1  ,500  
393 ,2 ,12 ,4  ,2  ,502  
394 ,36,14 ,5  ,2  ,504  
395 ,2 ,0  ,0  ,2  ,506  
396 ,28,80 ,0  ,1  ,506  
397 ,2 ,13 ,1  ,2  ,508  
398 ,2 ,25 ,5  ,2  ,510  
399 ,2 ,43 ,3  ,2  ,512  
400 ,20,2  ,135,1  ,0    
401 ,7 ,22 ,2  ,2  ,514  
402 ,12,3  ,90 ,0  ,5017 
403 ,35,0  ,0  ,2  ,516  
404 ,28,222,0  ,1  ,403  
405 ,12,200,90 ,0  ,5027 
406 ,12,0  ,16 ,0  ,1030 
407 ,35,0  ,0  ,2  ,518  
408 ,33,4  ,0  ,2  ,520  
409 ,2 ,47 ,5  ,2  ,522  
410 ,12,0  ,17 ,0  ,1060 
411 ,1 ,1  ,0  ,10 ,524  
412 ,12,0  ,18 ,0  ,4127 
413 ,20,1  ,57 ,1  ,0    
414 ,12,0  ,18 ,0  ,4135 
415 ,12,201,90 ,0  ,5027 
416 ,12,0  ,19 ,0  ,4020 
417 ,12,0  ,19 ,0  ,4120 
418 ,12,0  ,19 ,0  ,4130 
419 ,12,0  ,19 ,0  ,4140 
